Row Type,Action,Ad group status,Campaign ID,Campaign,Ad group ID,Ad group,Ad group type,Ad rotation,Default max. CPC,CPC%,Max. CPM,Max. CPV,Target CPA,Target CPM,TrueView target CPV,Label,Tracking template,Final URL suffix,Custom parameter,Target ROAS
Ad group,Add,Enabled,,Search | FLEET Produkte | FR 2026,,FLEET Mira,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | FR 2026,,FLEET Mira Basic | EN,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | FR 2026,,DLTNG,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | FR 2026,,VDO Smart Download Key,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | ES,,FLEET Mira,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | ES,,FLEET Mira Basic | EN,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | ES,,DLTNG,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | ES,,VDO Smart Download Key,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | PL,,FLEET Mira,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | PL,,FLEET Mira Basic | EN,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | PL,,DLTNG,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | PL,,VDO Smart Download Key,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | IT,,FLEET Mira,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | IT,,FLEET Mira Basic | EN,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | IT,,DLTNG,Standard,Optimize,,,,,,,,,,,,
Ad group,Add,Enabled,,Search | FLEET Produkte | IT,,VDO Smart Download Key,Standard,Optimize,,,,,,,,,,,,
