Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,FLEET Mira,fleet mira,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,FLEET Mira,logiciel tachygraphe,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,FLEET Mira,logiciel chronotachygraphe,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,FLEET Mira,archiver fichiers ddd,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,FLEET Mira,analyser fichiers ddd,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,FLEET Mira Basic | EN,free tachograph management,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,FLEET Mira Basic | EN,free tachograph management,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,DLTNG,dltng dtco terminal,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,DLTNG,borne téléchargement carte conducteur,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,DLTNG,lecteur carte conducteur,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,DLTNG,terminal carte conducteur,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,DLTNG,terminal tachygraphe,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,VDO Smart Download Key,vdo smart download key,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,VDO Smart Download Key,vdo dlk smart downloadkey,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,VDO Smart Download Key,clé téléchargement tachygraphe,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | FR 2026,VDO Smart Download Key,acheter clé téléchargement vdo,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,FLEET Mira,fleet mira,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,FLEET Mira,software tacógrafo,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,FLEET Mira,software tacógrafo digital,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,FLEET Mira,archivar archivos ddd,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,FLEET Mira,analizar archivos ddd,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,FLEET Mira Basic | EN,free tachograph management,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,FLEET Mira Basic | EN,free tachograph management,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,DLTNG,dltng dtco terminal,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,DLTNG,terminal descarga tarjeta conductor,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,DLTNG,lector tarjeta conductor,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,DLTNG,descargar tarjeta conductor,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,DLTNG,terminal tacógrafo,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,VDO Smart Download Key,vdo smart download key,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,VDO Smart Download Key,vdo dlk smart downloadkey,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,VDO Smart Download Key,llave descarga tacógrafo,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | ES,VDO Smart Download Key,comprar llave descarga vdo,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,FLEET Mira,fleet mira,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,FLEET Mira,oprogramowanie do tachografu,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,FLEET Mira,oprogramowanie tachograf cyfrowy,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,FLEET Mira,archiwizacja plików ddd,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,FLEET Mira,analiza plików ddd,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,FLEET Mira Basic | EN,free tachograph management,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,FLEET Mira Basic | EN,free tachograph management,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,DLTNG,dltng dtco terminal,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,DLTNG,terminal do kart kierowców,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,DLTNG,czytnik kart kierowców,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,DLTNG,odczyt karty kierowcy,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,DLTNG,terminal do tachografu,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,VDO Smart Download Key,vdo smart download key,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,VDO Smart Download Key,vdo dlk smart downloadkey,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,VDO Smart Download Key,klucz do tachografu,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | PL,VDO Smart Download Key,klucz do pobierania danych z tachografu,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | IT,FLEET Mira,fleet mira,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | IT,FLEET Mira,software tachigrafo,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | IT,FLEET Mira,software tachigrafo digitale,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | IT,FLEET Mira,archiviare file ddd,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | IT,FLEET Mira,analizzare file ddd,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | IT,FLEET Mira Basic | EN,free tachograph management,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | IT,FLEET Mira Basic | EN,free tachograph management,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | IT,DLTNG,dltng dtco terminal,Exact match
Keyword,Add,Enabled,Search | FLEET Produkte | IT,DLTNG,terminale carta conducente,Phrase match
Keyword,Add,Enabled,Search | FLEET Produkte | IT,DLTNG,lettore carta conducente,Phrase match
