"Row Type","Action","Ad status","Campaign","Ad group","Ad type","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Description 1","Description 2","Description 3","Description 4","Path 1","Path 2","Final URL"
"Ad","Add","Enabled","Search | FLEET Produkte | FR 2026","FLEET Mira","Responsive search ad","FLEET Mira","Logiciel Tachygraphe","Archives DDD Locales","Analysez Vos Fichiers DDD","Gérez Les Cartes Conducteur","Repérez Les Fichiers Manquants","30 Jours Pro Gratuits","Logiciel Windows","Gestion Des Tachographes","Achetez FLEET Mira Pro","Gérez et archivez localement les fichiers DDD des conducteurs et des véhicules.","Analysez les données et repérez les téléchargements ou archives manquants.","Testez toutes les fonctions Pro pendant 30 jours sur votre ordinateur Windows.","Commandez FLEET Mira Pro ou commencez gratuitement avec la version Basic.","fleet-mira","pro","https://dtco.info/fr/produkt/fleet-mira-pro%f0%9f%92%8e/"
"Ad","Add","Enabled","Search | FLEET Produkte | FR 2026","FLEET Mira Basic | EN","Responsive search ad","Fleet Mira Basic","Free Tachograph Management","Free DDD File Management","Archive DDD Files Locally","Analyse Tachograph Data","Manage Driver Card Files","Free Windows Software","Start With Fleet Mira","Basic Without Subscription","Upgrade To Pro Anytime","Use FLEET Mira Basic free to archive and manage tachograph and driver card files.","Store DDD files locally on Windows and identify missing downloads and archive gaps.","Start with the free Basic edition and test all Pro features for 30 days.","Download FLEET Mira Basic and upgrade only when you need additional features.","fleet-mira","basic","https://dtco.info/fr/produkt/fleet-mira-basic/"
"Ad","Add","Enabled","Search | FLEET Produkte | FR 2026","DLTNG","Responsive search ad","Terminal DLTNG DTCO","Borne Carte Conducteur","Téléchargez Les Cartes","Station Centrale DDD","Pour Conducteurs Et Flottes","Avec FLEET Mira","Contrôle Permis En Option","Terminal Tachygraphe","Commande En Ligne","Solution De Téléchargement","Les conducteurs téléchargent eux-mêmes leurs cartes sur une station centrale.","Centralisez les fichiers DDD et combinez le terminal avec le logiciel FLEET Mira.","Ajoutez en option le contrôle du permis de conduire à votre terminal DLTNG.","Découvrez le terminal DLTNG DTCO et commandez directement dans notre boutique.","dltng","terminal","https://dtco.info/fr/produkt/dltng-dtco-terminal/"
"Ad","Add","Enabled","Search | FLEET Produkte | FR 2026","VDO Smart Download Key","Responsive search ad","VDO Smart Download Key","Clé VDO Pour Tachygraphe","Compatible DTCO 4.1","Téléchargement Mobile","Données Du Tachygraphe","Matériel VDO Compact","Avec FLEET Mira","Achetez En Ligne","Pour Tachygraphes Smart","Téléchargez Les Données","Téléchargez les données directement sur le tachygraphe avec la clé compacte VDO.","La VDO Smart Download Key est prête pour les tachygraphes numériques actuels.","Transférez ensuite les fichiers DDD vers FLEET Mira pour les gérer et les analyser.","Commandez la VDO DLK Smart Download Key directement dans notre boutique en ligne.","vdo","download-key","https://dtco.info/fr/produkt/vdo-dlk-smart-downloadkey-dtco-4-1-ready/"
"Ad","Add","Enabled","Search | FLEET Produkte | ES","FLEET Mira","Responsive search ad","FLEET Mira","Software Para Tacógrafo","Archivo Local De DDD","Analice Archivos DDD","Gestione Tarjetas De Conductor","Detecte Archivos Faltantes","Prueba Pro De 30 Días","Software Para Windows","Gestión Del Tacógrafo","Compre FLEET Mira Pro","Gestione y archive localmente archivos DDD de conductores y vehículos.","Analice los datos y detecte descargas pendientes o huecos en el archivo.","Pruebe todas las funciones Pro durante 30 días en su ordenador Windows.","Compre FLEET Mira Pro o empiece gratis con la edición Basic.","fleet-mira","pro","https://dtco.info/es/produkt/fleet-mira-pro%f0%9f%92%8e/"
"Ad","Add","Enabled","Search | FLEET Produkte | ES","FLEET Mira Basic | EN","Responsive search ad","Fleet Mira Basic","Free Tachograph Management","Free DDD File Management","Archive DDD Files Locally","Analyse Tachograph Data","Manage Driver Card Files","Free Windows Software","Start With Fleet Mira","Basic Without Subscription","Upgrade To Pro Anytime","Use FLEET Mira Basic free to archive and manage tachograph and driver card files.","Store DDD files locally on Windows and identify missing downloads and archive gaps.","Start with the free Basic edition and test all Pro features for 30 days.","Download FLEET Mira Basic and upgrade only when you need additional features.","fleet-mira","basic","https://dtco.info/es/produkt/fleet-mira-basic/"
"Ad","Add","Enabled","Search | FLEET Produkte | ES","DLTNG","Responsive search ad","Terminal DLTNG DTCO","Terminal Tarjeta Conductor","Descargue Tarjetas","Estación Central DDD","Para Conductores Y Flotas","Con FLEET Mira","Control De Permiso Opcional","Terminal Para Tacógrafo","Compra Online Directa","Solución De Descarga","Los conductores descargan sus tarjetas de forma autónoma en una estación central.","Centralice los archivos DDD y combine el terminal con el software FLEET Mira.","Añada opcionalmente el control del permiso de conducir al terminal DLTNG.","Descubra el terminal DLTNG DTCO y cómprelo directamente en nuestra tienda online.","dltng","terminal","https://dtco.info/es/produkt/dltng-dtco-terminal/"
"Ad","Add","Enabled","Search | FLEET Produkte | ES","VDO Smart Download Key","Responsive search ad","VDO Smart Download Key","Llave VDO Para Tacógrafo","Compatible Con DTCO 4.1","Descarga Móvil","Datos Del Tacógrafo","Hardware VDO Compacto","Con FLEET Mira","Compre Online","Para Tacógrafos Smart","Descargue Los Datos","Descargue datos directamente del tacógrafo con la llave compacta de VDO.","La VDO Smart Download Key está preparada para tacógrafos digitales actuales.","Transfiera después los archivos DDD a FLEET Mira para gestionarlos y analizarlos.","Compre la VDO DLK Smart Download Key directamente en nuestra tienda online.","vdo","download-key","https://dtco.info/es/produkt/vdo-dlk-smart-downloadkey-dtco-4-1-ready/"
"Ad","Add","Enabled","Search | FLEET Produkte | PL","FLEET Mira","Responsive search ad","FLEET Mira","Program Do Tachografu","Lokalne Archiwum DDD","Analizuj Pliki DDD","Zarządzaj Kartami Kierowców","Wykrywaj Brakujące Pliki","30 Dni Wersji Pro","Program Dla Windows","Zarządzanie Tachografem","Kup FLEET Mira Pro","Zarządzaj i archiwizuj lokalnie pliki DDD kierowców oraz pojazdów.","Analizuj dane i wykrywaj brakujące pobrania lub luki w archiwum.","Testuj wszystkie funkcje Pro przez 30 dni na komputerze z Windows.","Kup FLEET Mira Pro albo zacznij bezpłatnie od wersji Basic.","fleet-mira","pro","https://dtco.info/pl/produkt/fleet-mira-pro%f0%9f%92%8e/"
"Ad","Add","Enabled","Search | FLEET Produkte | PL","FLEET Mira Basic | EN","Responsive search ad","Fleet Mira Basic","Free Tachograph Management","Free DDD File Management","Archive DDD Files Locally","Analyse Tachograph Data","Manage Driver Card Files","Free Windows Software","Start With Fleet Mira","Basic Without Subscription","Upgrade To Pro Anytime","Use FLEET Mira Basic free to archive and manage tachograph and driver card files.","Store DDD files locally on Windows and identify missing downloads and archive gaps.","Start with the free Basic edition and test all Pro features for 30 days.","Download FLEET Mira Basic and upgrade only when you need additional features.","fleet-mira","basic","https://dtco.info/pl/produkt/fleet-mira-basic/"
"Ad","Add","Enabled","Search | FLEET Produkte | PL","DLTNG","Responsive search ad","Terminal DLTNG DTCO","Terminal Kart Kierowców","Pobieraj Dane Z Kart","Centralna Stacja DDD","Dla Kierowców I Flot","Z FLEET Mira","Kontrola Prawa Jazdy","Terminal Do Tachografu","Kup Online","Rozwiązanie Do Pobierania","Kierowcy samodzielnie pobierają dane z kart w centralnej stacji.","Centralizuj pliki DDD i połącz terminal z oprogramowaniem FLEET Mira.","Opcjonalnie dodaj kontrolę prawa jazdy do terminala DLTNG.","Poznaj terminal DLTNG DTCO i zamów go bezpośrednio w naszym sklepie online.","dltng","terminal","https://dtco.info/pl/produkt/dltng-dtco-terminal/"
"Ad","Add","Enabled","Search | FLEET Produkte | PL","VDO Smart Download Key","Responsive search ad","VDO Smart Download Key","Klucz VDO Do Tachografu","Gotowy Na DTCO 4.1","Mobilne Pobieranie","Dane Z Tachografu","Kompaktowy Sprzęt VDO","Z FLEET Mira","Kup Online","Do Smart Tachografów","Pobieraj Dane","Pobieraj dane bezpośrednio z tachografu za pomocą kompaktowego klucza VDO.","VDO Smart Download Key jest gotowy do pracy z aktualnymi tachografami cyfrowymi.","Przenieś pliki DDD do FLEET Mira, aby nimi zarządzać i je analizować.","Zamów VDO DLK Smart Download Key bezpośrednio w naszym sklepie online.","vdo","download-key","https://dtco.info/pl/produkt/vdo-dlk-smart-downloadkey-dtco-4-1-ready/"
"Ad","Add","Enabled","Search | FLEET Produkte | IT","FLEET Mira","Responsive search ad","FLEET Mira","Software Per Tachigrafo","Archivio DDD Locale","Analizza I File DDD","Gestisci Carte Conducente","Trova I File Mancanti","Prova Pro Di 30 Giorni","Software Per Windows","Gestione Del Tachigrafo","Acquista FLEET Mira Pro","Gestisci e archivia localmente i file DDD di conducenti e veicoli.","Analizza i dati e individua download mancanti o lacune nell archivio.","Prova tutte le funzioni Pro per 30 giorni sul tuo computer Windows.","Acquista FLEET Mira Pro oppure inizia gratis con la versione Basic.","fleet-mira","pro","https://dtco.info/it/produkt/fleet-mira-pro%f0%9f%92%8e/"
"Ad","Add","Enabled","Search | FLEET Produkte | IT","FLEET Mira Basic | EN","Responsive search ad","Fleet Mira Basic","Free Tachograph Management","Free DDD File Management","Archive DDD Files Locally","Analyse Tachograph Data","Manage Driver Card Files","Free Windows Software","Start With Fleet Mira","Basic Without Subscription","Upgrade To Pro Anytime","Use FLEET Mira Basic free to archive and manage tachograph and driver card files.","Store DDD files locally on Windows and identify missing downloads and archive gaps.","Start with the free Basic edition and test all Pro features for 30 days.","Download FLEET Mira Basic and upgrade only when you need additional features.","fleet-mira","basic","https://dtco.info/it/produkt/fleet-mira-basic/"
"Ad","Add","Enabled","Search | FLEET Produkte | IT","DLTNG","Responsive search ad","Terminale DLTNG DTCO","Terminale Carta Conducente","Scarica Le Carte","Stazione Centrale DDD","Per Conducenti E Flotte","Con FLEET Mira","Controllo Patente Opzionale","Terminale Per Tachigrafo","Acquista Online","Soluzione Per Il Download","I conducenti scaricano autonomamente le proprie carte in una stazione centrale.","Centralizza i file DDD e collega il terminale al software FLEET Mira.","Aggiungi come opzione il controllo della patente al terminale DLTNG.","Scopri il terminale DLTNG DTCO e acquistalo direttamente nel nostro shop online.","dltng","terminal","https://dtco.info/it/produkt/dltng-dtco-terminal/"
"Ad","Add","Enabled","Search | FLEET Produkte | IT","VDO Smart Download Key","Responsive search ad","VDO Smart Download Key","Chiave VDO Per Tachigrafo","Compatibile Con DTCO 4.1","Download Mobile","Dati Del Tachigrafo","Hardware VDO Compatto","Con FLEET Mira","Acquista Online","Per Tachigrafi Smart","Scarica I Dati","Scarica i dati direttamente dal tachigrafo con la chiave compatta VDO.","La VDO Smart Download Key è pronta per i tachigrafi digitali attuali.","Trasferisci poi i file DDD in FLEET Mira per gestirli e analizzarli.","Acquista VDO DLK Smart Download Key direttamente nel nostro shop online.","vdo","download-key","https://dtco.info/it/produkt/vdo-dlk-smart-downloadkey-dtco-4-1-ready/"
